timeStamp,sym,price,qty
2023-01-01D12:00:37.000639635,EURUSD,1199834,201
2023-01-01D12:00:37.000873264,GBPUSD,1349471,371
2023-01-01D12:00:38.000018438,USDJPY,115000949,528
2023-01-01D12:00:38.000601309,GBPUSD,1349955,102
2023-01-01D12:00:38.000825280,EURUSD,1200187,497
2023-01-01D12:00:39.000066929,GBPUSD,1350682,568
2023-01-01D12:00:39.000784157,USDJPY,115000744,36
2023-01-01D12:00:39.000826834,EURUSD,1200967,168
2023-01-01D12:00:40.000221066,USDJPY,114999025,948
2023-01-01D12:00:40.000469984,EURUSD,1199096,121
2023-01-01D12:00:40.000491337,GBPUSD,1350570,910
2023-01-01D12:00:41.000127718,GBPUSD,1349693,570
2023-01-01D12:00:41.000590522,USDJPY,115000359,53
2023-01-01D12:00:41.000813350,EURUSD,1200310,756
2023-01-01D12:00:42.000603238,EURUSD,1199434,372
2023-01-01D12:00:42.000812357,GBPUSD,1349399,427
2023-01-01D12:00:42.000878786,USDJPY,114999693,549
2023-01-01D12:00:43.000105445,USDJPY,114999163,913
2023-01-01D12:00:43.000110007,EURUSD,1199523,423
2023-01-01D12:00:43.000743530,GBPUSD,1349227,445
2023-01-01D12:00:44.000441749,USDJPY,114999877,227
2023-01-01D12:00:44.000464817,GBPUSD,1349767,830
2023-01-01D12:00:44.000952852,EURUSD,1199731,800
2023-01-01D12:00:45.000099812,GBPUSD,1350863,698
2023-01-01D12:00:45.000817393,USDJPY,115000124,470
2023-01-01D12:00:45.000986342,EURUSD,1200934,419
2023-01-01D12:00:46.000054522,GBPUSD,1349862,628
2023-01-01D12:00:46.000074382,USDJPY,114999551,510
2023-01-01D12:00:46.000101949,EURUSD,1199439,57
2023-01-01D12:00:47.000323022,EURUSD,1200129,861
2023-01-01D12:00:47.000593379,GBPUSD,1350150,494
2023-01-01D12:00:47.000895093,USDJPY,115000761,309
2023-01-01D12:00:48.000271952,GBPUSD,1350387,940
2023-01-01D12:00:48.000275415,USDJPY,114999721,25
2023-01-01D12:00:48.000536423,EURUSD,1199522,389
2023-01-01D12:00:49.000629991,EURUSD,1199344,96
2023-01-01D12:00:49.000763648,GBPUSD,1349762,779
2023-01-01D12:00:49.000985035,USDJPY,115000489,261
2023-01-01D12:00:50.000210741,GBPUSD,1349563,259
2023-01-01D12:00:50.000388995,EURUSD,1200297,230
2023-01-01D12:00:50.000771133,USDJPY,115000361,147
2023-01-01D12:00:51.000012082,EURUSD,1200402,708
2023-01-01D12:00:51.000023061,USDJPY,114999895,35
2023-01-01D12:00:51.000245883,GBPUSD,1349300,397
2023-01-01D12:00:52.000061300,GBPUSD,1349053,188
2023-01-01D12:00:52.000424264,EURUSD,1200000,81
2023-01-01D12:00:52.000793384,USDJPY,114999458,634
2023-01-01D12:00:53.000137137,GBPUSD,1350832,669
2023-01-01D12:00:53.000303629,EURUSD,1200979,214
2023-01-01D12:00:53.000505484,USDJPY,114999699,28
2023-01-01D12:00:54.000460228,USDJPY,114999582,619
2023-01-01D12:00:54.000620810,GBPUSD,1349761,332
2023-01-01D12:00:54.000744367,EURUSD,1199735,831
2023-01-01D12:00:55.000170785,USDJPY,114999237,599
2023-01-01D12:00:55.000203463,EURUSD,1200717,924
2023-01-01D12:00:55.000574254,GBPUSD,1350391,733
2023-01-01D12:00:56.000158270,EURUSD,1200404,138
2023-01-01D12:00:56.000691145,USDJPY,114999347,419
2023-01-01D12:00:56.000771370,GBPUSD,1349592,327
2023-01-01D12:00:57.000540157,USDJPY,115000885,72
2023-01-01D12:00:57.000816981,GBPUSD,1349729,228
2023-01-01D12:00:57.000982518,EURUSD,1199078,514
2023-01-01D12:00:58.000029557,GBPUSD,1350375,901
2023-01-01D12:00:58.000042692,USDJPY,115000527,532
2023-01-01D12:00:58.000628181,EURUSD,1199264,920
2023-01-01D12:00:59.000098494,USDJPY,115000477,734
2023-01-01D12:00:59.000126776,GBPUSD,1349666,348
2023-01-01D12:00:59.000512484,EURUSD,1199862,367
2023-01-01D12:01:00.000289933,EURUSD,1200144,61
2023-01-01D12:01:00.000577535,GBPUSD,1350100,252
2023-01-01D12:01:00.000739515,USDJPY,115000286,729
2023-01-01D12:01:01.000703256,USDJPY,114999264,781
2023-01-01D12:01:01.000774658,GBPUSD,1349146,396
2023-01-01D12:01:01.000794491,EURUSD,1200801,792
2023-01-01D12:01:02.000100787,GBPUSD,1349543,727
2023-01-01D12:01:02.000271378,EURUSD,1199203,141
2023-01-01D12:01:02.000758102,USDJPY,115000713,787
2023-01-01D12:01:03.000005317,EURUSD,1200468,725
2023-01-01D12:01:03.000120863,USDJPY,115000186,631
2023-01-01D12:01:03.000331844,GBPUSD,1349088,560
2023-01-01D12:01:04.000116862,USDJPY,115000877,550
2023-01-01D12:01:04.000460661,EURUSD,1200754,796
2023-01-01D12:01:04.000586822,GBPUSD,1350073,578
2023-01-01D12:01:05.000683495,EURUSD,1200746,125
2023-01-01D12:01:05.000864449,GBPUSD,1350484,184
2023-01-01D12:01:05.000962618,USDJPY,115000780,675
2023-01-01D12:01:06.000015591,USDJPY,114999390,168
2023-01-01D12:01:06.000088479,EURUSD,1199261,181
2023-01-01D12:01:06.000847309,GBPUSD,1350570,298
2023-01-01D12:01:07.000049968,EURUSD,1199438,582
2023-01-01D12:01:07.000491343,USDJPY,114999982,249
2023-01-01D12:01:07.000517185,GBPUSD,1349313,916
2023-01-01D12:01:08.000098760,USDJPY,115000174,215
2023-01-01D12:01:08.000157018,GBPUSD,1350045,110
2023-01-01D12:01:08.000920426,EURUSD,1199627,127
2023-01-01D12:01:09.000146436,USDJPY,115000149,488
2023-01-01D12:01:09.000235345,EURUSD,1199975,361
2023-01-01D12:01:09.000903114,GBPUSD,1349949,997
2023-01-01D12:01:10.000039771,GBPUSD,1350144,287
2023-01-01D12:01:10.000180167,USDJPY,114999391,707
2023-01-01D12:01:10.000667032,EURUSD,1199080,813
2023-01-01D12:01:11.000295142,EURUSD,1199061,613
2023-01-01D12:01:11.000436966,USDJPY,114999722,57
2023-01-01D12:01:11.000559721,GBPUSD,1349716,165
2023-01-01D12:01:12.000240506,EURUSD,1200475,220
2023-01-01D12:01:12.000731452,USDJPY,115000690,565
2023-01-01D12:01:12.000854235,GBPUSD,1350618,436
2023-01-01D12:01:13.000048247,USDJPY,114999071,788
2023-01-01D12:01:13.000447667,GBPUSD,1349683,326
2023-01-01D12:01:13.000980844,EURUSD,1200935,217
2023-01-01D12:01:14.000111420,GBPUSD,1349429,557
2023-01-01D12:01:14.000539583,USDJPY,114999323,883
2023-01-01D12:01:14.000623336,EURUSD,1199613,56
2023-01-01D12:01:15.000127058,EURUSD,1200392,660
2023-01-01D12:01:15.000326602,GBPUSD,1349221,142
2023-01-01D12:01:15.000808255,USDJPY,115000650,705
2023-01-01D12:01:16.000066317,EURUSD,1199185,571
2023-01-01D12:01:16.000105774,GBPUSD,1349187,668
2023-01-01D12:01:16.000232371,USDJPY,114999164,814
2023-01-01D12:01:17.000603835,USDJPY,114999375,953
2023-01-01D12:01:17.000659726,EURUSD,1199664,344
2023-01-01D12:01:17.000976401,GBPUSD,1350686,888
2023-01-01D12:01:18.000393594,GBPUSD,1350752,359
2023-01-01D12:01:18.000782262,USDJPY,114999774,54
2023-01-01D12:01:18.000994855,EURUSD,1200624,606
2023-01-01D12:01:19.000002240,GBPUSD,1350401,393
2023-01-01D12:01:19.000602601,USDJPY,115000851,356
2023-01-01D12:01:19.000705605,EURUSD,1200524,101
2023-01-01D12:01:20.000580948,GBPUSD,1350254,502
2023-01-01D12:01:20.000773878,EURUSD,1200259,379
2023-01-01D12:01:20.000964293,USDJPY,115000953,242
2023-01-01D12:01:21.000063284,GBPUSD,1350130,765
2023-01-01D12:01:21.000403834,EURUSD,1199036,479
2023-01-01D12:01:21.000776749,USDJPY,115000351,153
2023-01-01D12:01:22.000400558,EURUSD,1199315,83
2023-01-01D12:01:22.000600955,USDJPY,114999265,48
2023-01-01D12:01:22.000659437,GBPUSD,1349847,122
2023-01-01D12:01:23.000038145,USDJPY,114999507,825
2023-01-01D12:01:23.000275193,GBPUSD,1349751,725
2023-01-01D12:01:23.000909849,EURUSD,1200549,729
2023-01-01D12:01:24.000030343,USDJPY,115000381,824
2023-01-01D12:01:24.000946210,EURUSD,1199729,941
2023-01-01D12:01:24.000954673,GBPUSD,1349869,157
2023-01-01D12:01:25.000207686,GBPUSD,1349418,10
2023-01-01D12:01:25.000456645,USDJPY,115000994,322
2023-01-01D12:01:25.000488982,EURUSD,1200883,736
2023-01-01D12:01:26.000187885,EURUSD,1199635,605
2023-01-01D12:01:26.000338740,USDJPY,115000856,928
2023-01-01D12:01:26.000969110,GBPUSD,1350558,937
2023-01-01D12:01:27.000065901,EURUSD,1199181,29
2023-01-01D12:01:27.000761725,USDJPY,115000440,976
2023-01-01D12:01:27.000810243,GBPUSD,1349315,197
2023-01-01D12:01:28.000171550,USDJPY,115000699,706
2023-01-01D12:01:28.000372055,GBPUSD,1349149,420
2023-01-01D12:01:28.000899183,EURUSD,1200161,315
2023-01-01D12:01:29.000066316,USDJPY,114999158,162
2023-01-01D12:01:29.000396241,GBPUSD,1349359,35
2023-01-01D12:01:29.000450003,EURUSD,1200771,640
2023-01-01D12:01:30.000444406,EURUSD,1199621,822
2023-01-01D12:01:30.000684825,USDJPY,114999947,376
2023-01-01D12:01:30.000815109,GBPUSD,1349787,334
2023-01-01D12:01:31.000165538,EURUSD,1199804,941
2023-01-01D12:01:31.000433382,GBPUSD,1349990,828
2023-01-01D12:01:31.000942927,USDJPY,115000490,883
2023-01-01D12:01:32.000080078,USDJPY,115000886,434
2023-01-01D12:01:32.000089721,GBPUSD,1349307,205
2023-01-01D12:01:32.000631062,EURUSD,1199741,582
2023-01-01D12:01:33.000376016,USDJPY,115000713,421
2023-01-01D12:01:33.000601159,GBPUSD,1349507,85
2023-01-01D12:01:33.000666943,EURUSD,1199707,508
2023-01-01D12:01:34.000133751,EURUSD,1200070,778
2023-01-01D12:01:34.000650911,USDJPY,114999045,152
2023-01-01D12:01:34.000983903,GBPUSD,1350940,395
2023-01-01D12:01:35.000211312,GBPUSD,1350795,29
2023-01-01D12:01:35.000682601,USDJPY,115000206,442
2023-01-01D12:01:35.000731778,EURUSD,1200175,67
2023-01-01D12:01:36.000241913,GBPUSD,1349821,514
2023-01-01D12:01:36.000723345,EURUSD,1200260,440
2023-01-01D12:01:36.000913778,USDJPY,115000158,751
2023-01-01D12:01:37.000395051,GBPUSD,1350596,327
2023-01-01D12:01:37.000643665,USDJPY,114999608,322
2023-01-01D12:01:37.000676286,EURUSD,1200390,475
2023-01-01D12:01:38.000037430,USDJPY,114999988,605
2023-01-01D12:01:38.000741724,GBPUSD,1349135,248
2023-01-01D12:01:38.000980439,EURUSD,1199867,738
2023-01-01D12:01:39.000202500,EURUSD,1199347,154
2023-01-01D12:01:39.000541637,USDJPY,114999430,303
2023-01-01D12:01:39.000665367,GBPUSD,1349917,727
2023-01-01D12:01:40.000093650,GBPUSD,1350780,423
2023-01-01D12:01:40.000391831,USDJPY,114999287,98
2023-01-01D12:01:40.000753021,EURUSD,1199442,689
2023-01-01D12:01:41.000270377,GBPUSD,1349271,731
2023-01-01D12:01:41.000885230,USDJPY,114999989,986
2023-01-01D12:01:41.000992360,EURUSD,1200792,898
2023-01-01D12:01:42.000044485,USDJPY,115000871,838
2023-01-01D12:01:42.000379239,GBPUSD,1349930,654
2023-01-01D12:01:42.000809578,EURUSD,1199567,566
2023-01-01D12:01:43.000564670,EURUSD,1199111,46
2023-01-01D12:01:43.000783828,GBPUSD,1349702,773
2023-01-01D12:01:43.000857206,USDJPY,114999123,506
2023-01-01D12:01:44.000014335,GBPUSD,1349268,566
2023-01-01D12:01:44.000592860,USDJPY,115000302,912
2023-01-01D12:01:44.000621690,EURUSD,1200109,475
2023-01-01D12:01:45.000134109,GBPUSD,1349272,47
2023-01-01D12:01:45.000533368,EURUSD,1199938,796
2023-01-01D12:01:45.000545271,USDJPY,115000735,669
2023-01-01D12:01:46.000337987,GBPUSD,1349068,469
2023-01-01D12:01:46.000961484,USDJPY,115000125,451
2023-01-01D12:01:46.000978050,EURUSD,1199346,799
2023-01-01D12:01:47.000557844,EURUSD,1200009,334
2023-01-01D12:01:47.000938779,GBPUSD,1350504,734
2023-01-01D12:01:47.000949589,USDJPY,115000943,309
2023-01-01D12:01:48.000448627,GBPUSD,1350394,820
2023-01-01D12:01:48.000748785,USDJPY,114999569,795
2023-01-01D12:01:48.000998957,EURUSD,1200758,950
2023-01-01D12:01:49.000157498,USDJPY,115000321,882
2023-01-01D12:01:49.000391626,EURUSD,1200017,93
2023-01-01D12:01:49.000697555,GBPUSD,1349604,245
2023-01-01D12:01:50.000245782,EURUSD,1200934,476
2023-01-01D12:01:50.000520933,USDJPY,115000712,541
2023-01-01D12:01:50.000619803,GBPUSD,1349538,874
2023-01-01D12:01:51.000214625,EURUSD,1199763,189
2023-01-01D12:01:51.000659639,GBPUSD,1349809,897
2023-01-01D12:01:51.000972927,USDJPY,114999134,39
2023-01-01D12:01:52.000012494,USDJPY,115000324,904
2023-01-01D12:01:52.000235715,EURUSD,1199556,216
2023-01-01D12:01:52.000486564,GBPUSD,1349765,645
2023-01-01D12:01:53.000807335,EURUSD,1200306,717
2023-01-01D12:01:53.000898091,GBPUSD,1349606,250
2023-01-01D12:01:53.000984408,USDJPY,115000018,824
2023-01-01D12:01:54.000214828,EURUSD,1200150,263
2023-01-01D12:01:54.000494619,USDJPY,114999691,454
2023-01-01D12:01:54.000636052,GBPUSD,1350238,578
2023-01-01D12:01:55.000541581,GBPUSD,1349036,561
2023-01-01D12:01:55.000885814,EURUSD,1200524,22
2023-01-01D12:01:55.000927238,USDJPY,115000957,215
2023-01-01D12:01:56.000037220,GBPUSD,1351007,646
2023-01-01D12:01:56.000075755,USDJPY,114999127,364
2023-01-01D12:01:56.000380516,EURUSD,1199264,282
2023-01-01D12:01:57.000150713,GBPUSD,1350453,310
2023-01-01D12:01:57.000515573,EURUSD,1199552,298
2023-01-01D12:01:57.000726250,USDJPY,115000992,284
2023-01-01D12:01:58.000098867,EURUSD,1200571,626
2023-01-01D12:01:58.000485645,USDJPY,114999156,148
2023-01-01D12:01:58.000658167,GBPUSD,1349609,337
2023-01-01D12:01:59.000089533,USDJPY,114999103,633
2023-01-01D12:01:59.000108813,EURUSD,1200905,462
2023-01-01D12:01:59.000504038,GBPUSD,1350689,407
2023-01-01D12:02:00.000668370,EURUSD,1199737,608
2023-01-01D12:02:00.000794246,GBPUSD,1350841,916
2023-01-01D12:02:00.000861406,USDJPY,114999818,592
2023-01-01D12:02:01.000310462,USDJPY,115000330,805
2023-01-01D12:02:01.000366521,GBPUSD,1349929,206
2023-01-01D12:02:01.000864755,EURUSD,1199155,971
2023-01-01D12:02:02.000175357,EURUSD,1199638,348
2023-01-01D12:02:02.000182230,GBPUSD,1349324,579
2023-01-01D12:02:02.000708738,USDJPY,114999243,801
2023-01-01D12:02:03.000028749,USDJPY,115000698,900
2023-01-01D12:02:03.000149989,EURUSD,1200440,70
2023-01-01D12:02:03.000714919,GBPUSD,1349141,960
2023-01-01D12:02:04.000168291,USDJPY,114999478,36
2023-01-01D12:02:04.000417789,GBPUSD,1350367,556
2023-01-01D12:02:04.000659190,EURUSD,1200292,626
2023-01-01D12:02:05.000298470,EURUSD,1200600,702
2023-01-01D12:02:05.000499085,USDJPY,114999140,993
2023-01-01D12:02:05.000520769,GBPUSD,1349817,546
2023-01-01D12:02:06.000210353,EURUSD,1200378,554
2023-01-01D12:02:06.000478738,GBPUSD,1349710,602
2023-01-01D12:02:06.000748795,USDJPY,115000811,127
2023-01-01D12:02:07.000316830,EURUSD,1199908,633
2023-01-01D12:02:07.000435347,GBPUSD,1349963,738
2023-01-01D12:02:07.000467455,USDJPY,114999064,936
2023-01-01D12:02:08.000105054,GBPUSD,1350623,347
2023-01-01D12:02:08.000572080,EURUSD,1200382,717
2023-01-01D12:02:08.000692467,USDJPY,115000248,415
2023-01-01D12:02:09.000524944,GBPUSD,1350130,121
2023-01-01D12:02:09.000784402,USDJPY,114999298,798
2023-01-01D12:02:09.000933287,EURUSD,1199909,310
2023-01-01D12:02:10.000302204,GBPUSD,1349286,278
2023-01-01D12:02:10.000503893,EURUSD,1200137,36
2023-01-01D12:02:10.000626910,USDJPY,114999341,279
2023-01-01D12:02:11.000339660,GBPUSD,1349330,164
2023-01-01D12:02:11.000580258,USDJPY,115000263,1000
2023-01-01D12:02:11.000872524,EURUSD,1200781,427
2023-01-01D12:02:12.000210593,EURUSD,1199564,905
2023-01-01D12:02:12.000466974,USDJPY,115000048,998
2023-01-01D12:02:12.000520751,GBPUSD,1350685,642
2023-01-01D12:02:13.000306455,GBPUSD,1349579,321
2023-01-01D12:02:13.000546120,USDJPY,114999449,257
2023-01-01D12:02:13.000666278,EURUSD,1200909,859
2023-01-01D12:02:14.000157699,GBPUSD,1349680,401
2023-01-01D12:02:14.000480183,USDJPY,115000269,462
2023-01-01D12:02:14.000640175,EURUSD,1200675,628
2023-01-01D12:02:15.000039342,USDJPY,114999519,991
2023-01-01D12:02:15.000604736,GBPUSD,1349271,670
2023-01-01D12:02:15.000718408,EURUSD,1200540,856
2023-01-01D12:02:16.000022163,GBPUSD,1349902,636
2023-01-01D12:02:16.000526291,USDJPY,115000520,501
2023-01-01D12:02:16.000855518,EURUSD,1200169,196
2023-01-01D12:02:17.000417486,GBPUSD,1350348,376
2023-01-01D12:02:17.000906133,USDJPY,114999333,64
2023-01-01D12:02:17.000921770,EURUSD,1199650,952
2023-01-01D12:02:18.000330754,EURUSD,1199962,936
2023-01-01D12:02:18.000847957,GBPUSD,1349581,213
2023-01-01D12:02:18.000940298,USDJPY,115000807,650
2023-01-01D12:02:19.000179337,USDJPY,114999693,349
2023-01-01D12:02:19.000957337,GBPUSD,1349314,161
2023-01-01D12:02:19.000998688,EURUSD,1200319,123
2023-01-01D12:02:20.000109691,EURUSD,1199895,867
2023-01-01D12:02:20.000248650,GBPUSD,1349082,456
2023-01-01D12:02:20.000423277,USDJPY,115000751,336
2023-01-01D12:02:21.000329779,EURUSD,1200212,130
2023-01-01D12:02:21.000584947,GBPUSD,1349804,281
2023-01-01D12:02:21.000731346,USDJPY,114999786,785
2023-01-01D12:02:22.000091801,USDJPY,114999954,832
2023-01-01D12:02:22.000438036,EURUSD,1199920,997
2023-01-01D12:02:22.000997063,GBPUSD,1349853,345
2023-01-01D12:02:23.000051235,USDJPY,115000596,735
2023-01-01D12:02:23.000458237,GBPUSD,1349768,895
2023-01-01D12:02:23.000867111,EURUSD,1200503,213
2023-01-01D12:02:24.000114801,GBPUSD,1350474,58
2023-01-01D12:02:24.000742798,USDJPY,115000095,589
2023-01-01D12:02:24.000917173,EURUSD,1199215,512
2023-01-01D12:02:25.000958560,USDJPY,114999616,868
2023-01-01D12:02:25.000978433,EURUSD,1200826,174
2023-01-01D12:02:25.000999156,GBPUSD,1350365,286
2023-01-01D12:02:26.000317503,USDJPY,114999831,403
2023-01-01D12:02:26.000475029,GBPUSD,1349418,621
2023-01-01D12:02:26.000876899,EURUSD,1200884,64
2023-01-01D12:02:27.000375608,EURUSD,1199520,887
2023-01-01D12:02:27.000628359,GBPUSD,1349050,66
2023-01-01D12:02:27.000814646,USDJPY,115000956,295
2023-01-01D12:02:28.000465901,USDJPY,114999426,181
2023-01-01D12:02:28.000869648,EURUSD,1199278,652
2023-01-01D12:02:28.000995452,GBPUSD,1349955,605
2023-01-01D12:02:29.000087016,EURUSD,1199791,577
2023-01-01D12:02:29.000191189,USDJPY,114999781,968
2023-01-01D12:02:29.000687899,GBPUSD,1349298,334
2023-01-01D12:02:30.000001168,EURUSD,1200505,663
2023-01-01D12:02:30.000415694,GBPUSD,1349582,335
2023-01-01D12:02:30.000898951,USDJPY,114999284,683
2023-01-01D12:02:31.000059149,USDJPY,114999160,937
2023-01-01D12:02:31.000659444,GBPUSD,1349628,268
2023-01-01D12:02:31.000920857,EURUSD,1199671,600
2023-01-01D12:02:32.000002672,EURUSD,1200155,913
2023-01-01D12:02:32.000038094,GBPUSD,1349944,483
2023-01-01D12:02:32.000967129,USDJPY,115000354,79
2023-01-01D12:02:33.000237349,EURUSD,1199287,443
2023-01-01D12:02:33.000371023,GBPUSD,1349535,826
2023-01-01D12:02:33.000393181,USDJPY,114999036,635
2023-01-01D12:02:34.000046712,EURUSD,1200491,61
2023-01-01D12:02:34.000165823,GBPUSD,1350427,186
2023-01-01D12:02:34.000766236,USDJPY,115000276,675
2023-01-01D12:02:35.000176513,USDJPY,115000160,552
2023-01-01D12:02:35.000307616,GBPUSD,1350962,930
2023-01-01D12:02:35.000850638,EURUSD,1199235,264
2023-01-01D12:02:36.000030173,EURUSD,1200924,975
2023-01-01D12:02:36.000402082,USDJPY,115000018,350
2023-01-01D12:02:36.000829254,GBPUSD,1350861,760
2023-01-01D12:02:37.000191825,USDJPY,115000497,158
2023-01-01D12:02:37.000306104,GBPUSD,1349470,633
2023-01-01D12:02:37.000709851,EURUSD,1199369,530
2023-01-01D12:02:38.000050098,EURUSD,1200658,598
2023-01-01D12:02:38.000357371,GBPUSD,1350318,312
